"id","title","description","link","image_link","condition","availability","price","sale price"
"62891abe505b2","Funko Pop! Marvel - Spider-man (japanese tv series) № 932 / Фанко Поп! Человек-паук № 932","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-marvel-spider-man-japanese-tv-series-932-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA-%D0%BF%D0%B0%D1%83%D0%BA-932","https://static.s123-cdn-static-d.com/uploads/5314305/normal_62891a2b0fb2f.jpg","new","in stock","650 UAH",""
"6289156449ded","FUNKO POP! THE WITCHER - JASKIER № 1195 / ФАНКО ПОП! ВЕДЬМАК - ЛЮТИК № 1195","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-the-witcher-jaskier-1195-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%92%D0%95%D0%94%D0%AC%D0%9C%D0%90%D0%9A-%D0%9B%D0%AE%D0%A2%D0%98%D0%9A-1195","https://static.s123-cdn-static-d.com/uploads/5314305/normal_628914af27aa0.jpg","new","out of stock","800 UAH",""
"62890ee49743e","FUNKO POP! MARVEL HAWKEYE - KATE BISHOP № 1215 / ФАНКО ПОП! СОКОЛИНЫЙ ГЛАЗ - КЕЙТ БИШОП № 1215","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-marvel-hawkeye-kate-bishop-1215-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%A1%D0%9E%D0%9A%D0%9E%D0%9B%D0%98%D0%9D%D0%AB%D0%99-%D0%93%D0%9B%D0%90%D0%97-%D0%9A%D0%95%D0%99%D0%A2-%D0%91%D0%98%D0%A8%D0%9E%D0%9F-1215","https://static.s123-cdn-static-d.com/uploads/5314305/normal_62890e90b6962.jpg","new","in stock","750 UAH",""
"628908fb3c4db","FUNKO POP! POKEMON - BULBASAUR № 453 / ФАНКО ПОП! ПОКЕМОНЫ - БУЛЬБАЗАВР № 453","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-pokemon-bulbasaur-453-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%9F%D0%9E%D0%9A%D0%95%D0%9C%D0%9E%D0%9D%D0%AB-%D0%91%D0%A3%D0%9B%D0%AC%D0%91%D0%90%D0%97%D0%90%D0%92%D0%A0-453","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6289080cbfdb9.jpg","new","out of stock","700 UAH",""
"6289071e20ffa","Funko Pop! Hello Kitty x Naruto - Pochacco Kakashi № 1021 / Фанко Поп! Хелло Китти - Наруто Какаши № 1021","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-hello-kitty-x-naruto-pochacco-kakashi-1021-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A5%D0%B5%D0%BB%D0%BB%D0%BE-%D0%9A%D0%B8%D1%82%D1%82%D0%B8-%D0%9D%D0%B0%D1%80%D1%83%D1%82%D0%BE-%D0%9A%D0%B0%D0%BA%D0%B0%D1%88%D0%B8-1021","https://static.s123-cdn-static-d.com/uploads/5314305/normal_628907185b45b.png","new","out of stock","650 UAH",""
"62890024eff8a","FUNKO POP! LORD OF THE RINGS - GANDALF THE WHITE № 1203 / ФАНКО ПОП! ВЛАСТЕЛИН КОЛЕЦ - ГЕНДАЛЬФ В БЕЛОМ № 1203","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-lord-of-the-rings-gandalf-the-white-1203-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%92%D0%9B%D0%90%D0%A1%D0%A2%D0%95%D0%9B%D0%98%D0%9D-%D0%9A%D0%9E%D0%9B%D0%95%D0%A6-%D0%93%D0%95%D0%9D%D0%94%D0%90%D0%9B%D0%AC%D0%A4-%D0%92-%D0%91%D0%95%D0%9B%D0%9E%D0%9C-1203","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6289001dbcbdc.jpg","new","in stock","1100 UAH",""
"627fc8de990a0","Funko Pop! Boruto - Boruto № 1035 / Фанко Поп! Боруто - Боруто № 1035","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-boruto-boruto-1035-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%91%D0%BE%D1%80%D1%83%D1%82%D0%BE-%D0%91%D0%BE%D1%80%D1%83%D1%82%D0%BE-1035","https://static.s123-cdn-static-d.com/uploads/5314305/normal_627fc85b50a29.jpg","new","in stock","650 UAH",""
"627fc59d18766","FUNKO POP! WHAT IF? - INFINITY ULTRON № 973 / ФАНКО ПОП! ЧТО ЕСЛИ? - АЛЬТРОН № 973","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-what-if-infinity-ultron-973-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%A7%D0%A2%D0%9E-%D0%95%D0%A1%D0%9B%D0%98-%D0%90%D0%9B%D0%AC%D0%A2%D0%A0%D0%9E%D0%9D-973","https://static.s123-cdn-static-d.com/uploads/5314305/normal_627fc4b935ba6.jpg","new","out of stock","650 UAH",""
"626c4be79f137","FUNKO POP! WANDAVISION WANDA - SCARLET WITCH (GITD) № 823 / ФАНКО ПОП! ВАНДАВИЖЕН - АЛАЯ ВЕДЬМА / ВАНДА № 823","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-wandavision-wanda-scarlet-witch-gitd-823-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%92%D0%90%D0%9D%D0%94%D0%90%D0%92%D0%98%D0%96%D0%95%D0%9D-%D0%90%D0%9B%D0%90%D0%AF-%D0%92%D0%95%D0%94%D0%AC%D0%9C%D0%90-%D0%92%D0%90%D0%9D%D0%94%D0%90-823","https://static.s123-cdn-static-d.com/uploads/5314305/normal_626c4c3de6b4a.jpg","new","in stock","900 UAH",""
"626c4a7875ef3","FUNKO POP! AVENGERS - LOKI № 985 / ФАНКО ПОП! МСТИТЕЛИ - ЛОКИ - ЛОКІ № 985","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-avengers-loki-985-%D0%A4%D0%90%D0%9D%D0%9A%D0%9E-%D0%9F%D0%9E%D0%9F-%D0%9C%D0%A1%D0%A2%D0%98%D0%A2%D0%95%D0%9B%D0%98-%D0%9B%D0%9E%D0%9A%D0%98-%D0%9B%D0%9E%D0%9A%D0%86-985","https://static.s123-cdn-static-d.com/uploads/5314305/normal_626c49ef8ae0b.jpg","new","in stock","950 UAH",""
